,Station,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Distance to Station,Rating,Likes
0,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Tatte Bakery & Cafe,42.35845066983387,-71.05798060378322,Bakery,5c95073698fbfc002c2847c1,175.79640155505797,9.0,32
1,MBTA Government Center Station,42.35960536922291,-71.05943986778493,sweetgreen,42.357703617205935,-71.0587126799328,Salad Place,572b7990498e53c1a5b9b2d2,219.57771192041693,8.8,83
2,MBTA Government Center Station,42.35960536922291,-71.05943986778493,haley.henry,42.357573626985655,-71.05949493285475,Restaurant,57a50fbc498e6c05045175fa,225.7320274991836,8.8,55
3,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Ruth's Chris Steak House,42.358125,-71.059337,Steakhouse,525da4dd498eb92d634abc6f,164.6580240333269,8.7,156
4,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Zo,42.359303326648295,-71.06035233177231,Greek Restaurant,4b4f6a57f964a520930527e3,82.31892062252234,8.6,39
5,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Faneuil Hall Marketplace,42.359977505576424,-71.05641034076862,Historic Site,4b3d563ff964a520a49225e3,252.97982998492492,8.9,1202
6,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Saus Restaurant,42.36107632380333,-71.0570542078555,Belgian Restaurant,4bf18c843506ef3bea63bd22,255.58463769433888,8.9,369
7,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Boston Athenaeum,42.35748053766697,-71.06183760036927,Library,4a4a438ff964a520a0ab1fe3,307.7802748891627,9.3,45
8,MBTA Government Center Station,42.35960536922291,-71.05943986778493,The Freedom Trail,42.357314159016994,-71.06103847963261,Historic Site,4b41657df964a5203dc625e3,286.56480470575525,9.0,248
9,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Sam LaGrassa's,42.35687,-71.05996,Sandwich Place,4a4b77ddf964a52063ac1fe3,306.85219306556576,9.2,225
10,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Cafe Artigiano,42.358025,-71.05905,Italian Restaurant,58541f39ce593d53043e55d0,178.46190089204967,8.4,6
11,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Boston Massacre Monument,42.35895538628799,-71.05697061186841,Monument / Landmark,4db0389a6e81a2637ed498b3,215.85775716051762,8.5,130
12,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Clover Food Lab DTX,42.35767437884534,-71.05930564739923,American Restaurant,56af7b5b498e9db1d9234e39,214.77972920026585,8.5,75
13,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Grotto,42.35991506135848,-71.06280665488974,Italian Restaurant,4aa91accf964a520005220e3,279.4893434530407,8.8,105
14,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Boston Public Market,42.36194982978392,-71.05746630749788,Market,55b95c01498e77bdd5be7a96,307.00801982137125,9.0,731
15,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Old State House,42.35886491485705,-71.05746150827233,Historic Site,4ae721b1f964a520b3a821e3,182.56135935484983,8.3,381
16,MBTA Government Center Station,42.35960536922291,-71.05943986778493,The Oceanaire Seafood Room,42.3590705,-71.059173,Seafood Restaurant,4a457a60f964a5203fa81fe3,63.350693955535355,8.3,123
17,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Parker's Bar,42.357923265035744,-71.05991747202404,Hotel Bar,4d78353ce215721eaaa80eb0,190.94647952768358,8.3,37
18,MBTA Government Center Station,42.35960536922291,-71.05943986778493,DAVIDsTEA,42.3572626223559,-71.05833155833682,Tea Room,50a80af2e4b0495d7ed38d60,275.78644551619465,8.6,62
19,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Red's Best,42.36196033446922,-71.05758675815021,Seafood Restaurant,565f3316498e9ca911292760,302.8777039004911,8.7,20
20,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Yvonne's,42.355664233287655,-71.06146632268391,New American Restaurant,560d8c06498e79986a22ca43,108.23813574011727,9.3,340
22,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Barry's Bootcamp,42.3540102743177,-71.0597764787762,Gym / Fitness Center,522ddc8f11d22c9b60f21cf7,155.04283442515688,9.1,81
23,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,sweetgreen,42.353943,-71.0585497,Salad Place,57fbb58e498e466c222aa37d,209.44001711972908,9.0,54
24,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,George Howell Coffee,42.354723387969685,-71.06144309666223,Coffee Shop,57585d08498e05c399ce0c3d,123.9382158353364,8.8,189
26,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Brattle Book Shop,42.35460493404006,-71.062048357888,Bookstore,4b06d899f964a52052f122e3,173.192807682919,8.7,71
27,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Archie's New York Deli,42.35533656296053,-71.05942372043775,Deli / Bodega,4ad62461f964a520530521e3,65.27512295474625,8.7,45
29,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Boston Opera House,42.354014157833866,-71.06260197500153,Opera House,454ac4c0f964a520a33c1fe3,247.5527114273877,8.9,443
30,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Roche Bros Downtown Crossing,42.35536343310697,-71.06011730142201,Market,5540d6c5498e208aca65220d,8.054449866939224,8.6,231
31,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Boston Wine Exchange,42.35607020737536,-71.05741965976519,Wine Shop,4bb25ed442959c7450be202c,243.1573331055866,8.8,32
33,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Ogawa Coffee Boston,42.35667419913848,-71.05810867191069,Coffee Shop,555a7a8f498eb839923af583,226.21879582177363,8.6,273
34,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Primark,42.35553779610866,-71.06009493485749,Clothing Store,55df0de6498e952c0fd490d9,21.329075763250323,8.5,429
35,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,ruka,42.35450329708895,-71.06177516468658,Asian Restaurant,584c88b77d0f6d78855e39c9,160.44586994107638,8.5,94
36,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Pabu Boston,42.35625539999999,-71.05941659999999,Sushi Restaurant,580fff4938facc4e70a30904,118.53314009748718,8.4,56
37,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,Caffè Nero,42.353521004292276,-71.06234787647732,Coffee Shop,53734d5e498ef0e9f93925f3,270.10893087453707,8.8,363
38,MBTA Downtown Crossing Station,42.35536764070387,-71.06021489887799,E.B. Horn Jewelers,42.355778,-71.060612,Jewelry Store,4b82d990f964a520f3e830e3,56.10837155161635,8.4,6
40,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Tatte Bakery & Cafe,42.353111,-71.057117,Bakery,5c2f8ffcb25fee002b84e590,194.77028988060422,9.3,49
41,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Clover Food Lab FIN,42.35371525349005,-71.05621626380778,Vegetarian / Vegan Restaurant,577be842498e0a21aa1cc211,197.89747497790128,9.1,63
42,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,O Ya,42.351502307749314,-71.05676267373507,Sushi Restaurant,4a42d407f964a52046a61fe3,147.01147188381265,8.8,119
43,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Gracenote Coffee,42.351657,-71.058204,Coffee Shop,560a8bc7498e3f8a08bf7274,254.41023808864827,8.9,166
44,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,La Colombe Torrefaction,42.350423,-71.056837,Café,570eb720cd10c6782f02b363,231.9166556502078,8.7,88
45,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Les Zygomates Wine Bar Bistro,42.351253697441585,-71.0573443164337,Wine Bar,3fd66200f964a52066ec1ee3,202.27890389288382,8.5,102
46,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Dewey Square,42.352953485384454,-71.05541924962004,Park,4c3c939e980320a1c5d68ae4,95.8962355704366,8.4,97
47,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Lolita,42.35049509843735,-71.0516797499144,Mexican Restaurant,59e7dc77135b394bb3a22e11,339.36974813165403,9.2,98
48,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Figaro's,42.35085976141691,-71.058259296302,Sandwich Place,4afd9e8cf964a5202c2922e3,289.40539828211,8.6,57
50,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,BSA Space,42.35291062703527,-71.05266167035633,Art Museum,4eea572ab8f7eaddf7d16c4a,225.55717639012727,8.3,26
51,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Boston Children's Museum,42.35184557118001,-71.0500817042104,Museum,4a354728f964a520b69c1fe3,420.83210421174743,9.0,291
53,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Abigail's Tea Room,42.352603650940836,-71.05109257977381,Tea Room,5045032ce4b0d8c7e03461c2,340.97672779333647,8.4,26
54,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Troquet On South,42.351162,-71.05767900000001,French Restaurant,5a95a35c588e36300b282eaf,231.44148855523525,8.0,9
55,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Serafina Boston,42.35306488063853,-71.05671777961481,Italian Restaurant,551b3ba2498ef27de8b9147a,165.49365167630302,7.9,61
56,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Boston Tea Party Ships and Museum,42.35231220156067,-71.05118036270142,History Museum,514f2d93e4b03aaaf9a2b250,330.062315138394,8.3,315
57,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,James Hook & Company,42.354959987121205,-71.0509107842607,Seafood Restaurant,4a9699adf964a5205e2620e3,473.11015213474985,9.1,328
58,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Nebo,42.35412908939435,-71.05329501821257,Italian Restaurant,51c3a542498eb08b9e3020db,272.74503341246213,8.0,133
59,South Station Terminal (MBTA / Amtrak),42.352109088618356,-71.05517697696978,Kane's Donuts,42.35620883614536,-71.05289497510209,Donut Shop,55098425498e04ef460a3649,492.6853478264318,9.1,85
60,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,North End Park,42.36248823184806,-71.05647696102726,Park,4ba50617f964a520f1d138e3,144.21813501741366,9.2,173
61,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,The Rose Kennedy Greenway - Mothers Walk,42.36263981588581,-71.05640731912858,Park,51743d0ce4b0d8599417b780,147.372477966543,9.0,37
62,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Neptune Oyster,42.363236501436226,-71.0561393696605,Seafood Restaurant,4ac53112f964a520dbb020e3,176.9616372008447,9.0,641
66,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Pauli's,42.3632920767292,-71.056067569795,Sandwich Place,4dea5487d164ef597ce79171,184.49928012866204,8.6,107
67,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Improv Asylum Theatre,42.36293119004747,-71.05540369658581,Comedy Club,40b28c80f964a520d5f71ee3,230.23885745570595,8.7,101
68,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Ernesto's Pizza,42.36337010778569,-71.05599795301806,Pizza Place,4accca58f964a52087c920e3,192.81572917673603,8.5,118
69,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,The Ski Monster Boston,42.36367897332996,-71.05923896937804,Ski Chalet,53dff5aa498e8db166762d66,133.83770715733158,8.5,12
70,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Bricco Salumeria and Pasta Shop,42.36307097234039,-71.0550408719736,Deli / Bodega,53a74381498e34ef9a6217ea,261.63386032432845,8.8,15
71,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Red Apple Farm,42.361826858163944,-71.05753551073111,Bakery,563f7d83cd108b8d94e3e859,116.75237530873922,8.4,21
72,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Thinking Cup,42.36322114260519,-71.05512418529845,Coffee Shop,50c61b1ae4b0bd0f65b00b19,257.62744553356566,8.7,402
73,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,George Howell Coffee,42.361831810881,-71.05744523774474,Coffee Shop,55c7541b498e1c44d8c3e506,119.88910958999352,8.4,46
74,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Regina Pizzeria,42.36539391924489,-71.05688270158532,Pizza Place,4ae4b71af964a520629d21e3,311.78748786217545,9.1,499
75,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Little Italy,42.363697071284,-71.05467207133735,Neighborhood,50afd866e4b004e6d251ea84,307.86565240570087,8.9,54
76,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Modern Pastry Shop,42.36339129541846,-71.05485934694339,Bakery,4a3d99aef964a52083a21fe3,283.1247008969699,8.6,495
78,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Cuppacoffee,42.363144157727085,-71.05982969664457,Coffee Shop,51a49c41498e034cea66e562,141.75100380627936,8.2,54
79,MBTA Haymarket Station,42.36275952451639,-71.05818898731863,Trattoria Il Panino,42.363836417347486,-71.05450014853415,Italian Restaurant,4a3bfa61f964a520f6a01fe3,326.5754077534985,8.7,280
80,MBTA North Station,42.36624244394322,-71.0623384451027,TD Garden,42.3663290227002,-71.06215329500628,Hockey Arena,43be0c22f964a5200c2d1fe3,18.030531945844082,8.9,2493
81,MBTA North Station,42.36624244394322,-71.0623384451027,Courtyard by Marriott Boston Downtown/North Station,42.365871297585464,-71.0596384563446,Hotel,5acf89789be522562f19042c,226.19825590640315,8.6,12
82,MBTA North Station,42.36624244394322,-71.0623384451027,Bobby Orr Statue @ TD Garden,42.365314063626364,-71.06238126754761,Outdoor Sculpture,4be8775088ed2d7ff0e7cb1d,103.18516158411877,8.4,48
83,MBTA North Station,42.36624244394322,-71.0623384451027,Zakim Overlook Park,42.36571236672876,-71.06065636679499,Park,4c6d6429a437224b44e52cb1,150.55194439096792,8.3,14
84,MBTA North Station,42.36624244394322,-71.0623384451027,Night Shift Brewing,42.36733769074709,-71.05956140469405,Brewery,5c898cac061b51002cc1d9c4,259.0938298353054,8.3,46
85,MBTA North Station,42.36624244394322,-71.0623384451027,Alcove,42.36727016173432,-71.06059733503459,Restaurant,5bcfbe68603d2a0039d20f11,183.3083005533371,8.1,21
86,MBTA North Station,42.36624244394322,-71.0623384451027,The Fours,42.365314,-71.060971,Sports Bar,40b28c80f964a520e3f71ee3,152.7238577022325,8.0,200
87,MBTA North Station,42.36624244394322,-71.0623384451027,Osteria Rustico,42.36439652213687,-71.05986995482215,Italian Restaurant,4b87dfe3f964a52086d031e3,288.7764740549502,8.3,21
88,MBTA North Station,42.36624244394322,-71.0623384451027,Ward 8,42.36547488631407,-71.05849236336837,Gastropub,529d0b3911d2e1c994c39b59,328.090917305773,8.4,167
89,MBTA North Station,42.36624244394322,-71.0623384451027,Citizenm Boston North Station,42.365265,-71.061905,Hotel,5d37bdd806c94000081b9ba4,114.2949578036585,7.9,6
92,MBTA North Station,42.36624244394322,-71.0623384451027,Tasty Burger,42.36573838983572,-71.06310470343489,Burger Joint,5a6f595ec62b49492cd354ae,84.37460657617994,7.9,21
93,MBTA North Station,42.36624244394322,-71.0623384451027,Ducali Pizzeria & Bar,42.36708568942295,-71.05806795337298,Pizza Place,4ae39e06f964a5204d9721e3,364.03213962988536,8.1,98
94,MBTA North Station,42.36624244394322,-71.0623384451027,The Clubs at Charles River Park,42.3659854541083,-71.06825720425095,Gym / Fitness Center,4b565e63f964a5207d0d28e3,488.3877554960713,8.6,29
95,MBTA North Station,42.36624244394322,-71.0623384451027,Paul Revere Park,42.370196991214776,-71.06178131754942,Park,4bcf72669854d13a8f13f64d,441.6635049475877,8.4,35
96,MBTA North Station,42.36624244394322,-71.0623384451027,Massimino's Cucina Italiana,42.36649473564955,-71.0581325028762,Italian Restaurant,4bf31e383f86c9b678ccb11c,347.59111355481235,8.1,44
98,MBTA North Station,42.36624244394322,-71.0623384451027,Health Yoga Life,42.36126093838565,-71.0637218264327,Yoga Studio,4ec3f8aed5fb255ab41dbbf2,564.9601914286753,8.8,16
99,MBTA North Station,42.36624244394322,-71.0623384451027,Tavern in the Square,42.3657529126348,-71.06014777366894,Sports Bar,54089dc6498e743eaa3d97e9,188.4699261199041,7.6,108
102,MBTA Park Street Station,42.35632449242305,-71.06254340251151,Boston Common,42.355487,-71.064882,Park,4283ee00f964a520dd221fe3,213.9545314866299,9.5,2723
108,MBTA Park Street Station,42.35632449242305,-71.06254340251151,No. 9 Park,42.35754020221547,-71.06319344448555,French Restaurant,3fd66200f964a5203eec1ee3,145.27296678108408,8.6,136
110,MBTA Park Street Station,42.35632449242305,-71.06254340251151,Frog Pond,42.35613375967781,-71.06567233800888,Lake,4a549cd9f964a5202ab31fe3,258.6529828112442,8.7,153
114,MBTA Park Street Station,42.35632449242305,-71.06254340251151,Kimpton Nine Zero Hotel,42.357388,-71.060696,Hotel,4a6e4e7df964a52075d41fe3,192.66760342410782,8.4,106
118,MBTA Park Street Station,42.35632449242305,-71.06254340251151,Union Club of Boston,42.35741149126363,-71.06270210930565,Restaurant,40b28c80f964a52098f71ee3,121.4499579164895,8.3,17
127,MBTA State Street Station,42.35832149336818,-71.0571559689199,Casa Razdora,42.35823069388653,-71.05474109000356,Italian Restaurant,4d1a255481cea35d5867faec,199.20382709553311,8.6,54
129,MBTA State Street Station,42.35832149336818,-71.0571559689199,Zo,42.35919645427936,-71.0554672012491,Greek Restaurant,4f049c5d00399761c77a111b,169.71269153440593,8.5,48
130,MBTA State Street Station,42.35832149336818,-71.0571559689199,Quincy Market,42.36010572657766,-71.05488099788126,Historic Site,4a1b3cd9f964a520db7a1fe3,272.7755540387346,9.0,2543
134,MBTA State Street Station,42.35832149336818,-71.0571559689199,Al's State Street Cafe,42.35907122186619,-71.05480359794034,Sandwich Place,4abe4eaaf964a520968c20e3,210.93358986985837,8.5,86
135,MBTA State Street Station,42.35832149336818,-71.0571559689199,Render Coffee,42.35714521652015,-71.0573419723439,Coffee Shop,57079c6c498e3d4a7dcfbd84,131.55663232746224,8.4,45
137,MBTA State Street Station,42.35832149336818,-71.0571559689199,Irish Famine Memorial,42.357356135579344,-71.05852856252214,Sculpture Garden,4bbb9c5d51b89c747070862a,155.8398770250448,8.4,28
138,MBTA State Street Station,42.35832149336818,-71.0571559689199,Pavia - Italian Cuisine & Catering,42.35775184002537,-71.05591345776388,Italian Restaurant,4ca216f746978cfa5aa1c17f,120.34275410954817,8.4,22
140,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,The Rose Kennedy Greenway,42.358227345384506,-71.0520546770175,Park,4a8e279ff964a5201f1220e3,163.62280507331732,9.5,293
142,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Christopher Columbus Park,42.36102715769776,-71.05145110700371,Park,4ae3580af964a520c59321e3,227.76991983120402,8.8,198
143,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Boston Harborwalk,42.360684203855406,-71.05089396466597,Trail,4f494981e4b0e44506cf9d58,234.7961126071236,8.9,81
146,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Newbury Comics,42.36064256002904,-71.05441329034393,Record Shop,4afc4d3bf964a520512122e3,167.68002603883264,8.5,154
147,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,State Street Provisions,42.35950676314923,-71.05138570840184,American Restaurant,5660ddb1498e4dd40ca775ce,149.07800015596834,8.5,109
149,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Aquarium Seal Tank,42.35926,-71.049787,Aquarium,4c2c95af77cfe21ea533b6f1,281.23838783556846,9.0,78
151,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Boston Chowda Company,42.360163706867915,-71.05496881630421,Seafood Restaurant,4bc510d422c676b0c89096d3,167.24254050607414,8.4,133
152,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Mr. Dooley's,42.35778281092474,-71.05355339195589,Pub,4bd1ddb677b29c74906f8d82,185.8709818844557,8.3,160
153,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Boston Marriott Long Wharf,42.3599928,-71.0510743,Hotel,4ae61682f964a520a1a421e3,185.20453465022734,8.3,143
154,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,"Marriott Vacation Club Pulse at Custom House, Boston",42.359047,-71.05356,Hotel,4b91813ef964a5206cc133e3,52.62503601788808,8.3,35
155,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Legal Sea Foods,42.35941141568626,-71.05084656162141,Seafood Restaurant,4a7654cbf964a520d8e21fe3,193.2959909759735,8.2,483
156,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Trillium Garden On The Greenway,42.35653994232763,-71.05110029345445,Beer Garden,5b05fb67f193c0002cbd9455,364.83065419819417,9.3,91
157,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,Bostonia Public House,42.35913469339336,-71.0542977022371,Bar,534eb5d611d2211b3ec84cd8,96.93979574957744,8.2,224
158,MBTA Aquarium Station,42.35943458843769,-71.05319266585325,The Ginger Man,42.35940031827942,-71.0541712864575,Beer Bar,56e9e969498eb30b276860e2,80.71142466797858,8.2,73
